31322	249	523	274	552	0
31323	289	523	314	552	0

#RUNNING LEFT
31311	169	523	194	552	0
31312	129	523	154	552	0
31313	89	523	114	552	0

#JUMP WALK RIGHT
31417	330	443	353	472	0
31413	52	443	75	472	0

#JUMP RUN RIGHT & LEFT
31427	291	603	314	634	0
31423	51	603	83	634	0

#SIT RIGHT & LEFT 
31521	372	448	393	465	0
31511	12	448	33	465	0

#BRACE RIGHT & LEFT 
31621	215	482	230	517	0
31611	175	482	190	517	0

#ATTACK
31711	236	443	259	472	0
31712	147	443	170	472	0
31713	355	483	370	512	0
31714	390	483	405	512	0

#RUN FAST RIGHT
31721	211	603	234	632	0
31722	252	603	274	632	0

#RUN FAST LEFT
31731	172	603	195	632	0
31732	132	603	155	632	0

#FLYING RIGHT
31811	291	603	314	634	0
31821	331	603	354	634	0
31831	371	603	314	674	0

#FLYING LEFT
31812	91	603	114	634	0
31822	51	603	74	634	0
31832	11	603	34	674	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#IDLE
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	30	11322	50	11323	50
601	11311	30	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

################### RACOON ###################
#IDLE
3400	31121	100
3401	31111	100

#WALKING RIGHT & LEFT 
3500	31121	100	31222	100	31223	100
3501	31111	100	31212	100	31213	100

#RUNNING RIGHT & LEFT
3600	31321	40	31322	40	31323	40
3601	31311	40	31312	40	31313	40

#JUMP WALK
3700	31417	100
3701	31413	100

#JUMP RUN
3800	31427	100
3801	31423	100

#SIT RIGHT & LEFT 
3900	31521	100
3901	31511	100

#BRACE RIGHT & LEFT 
3100	31621	100
3101	31611	100

#ATTACK FROM LEFT
3200	31713	100	31712	100	31714	100	31711	400

#ATTACK FROM RIGHT
3201	31714	100	31711	100	31713	100	31712	400


###################FIRE###################
2400	21121	100
2401	21111	100

#WALKING RIGHT & LEFT 
2500	21121	100	21222	100	21223	100
2501	21111	100	21212	100	21213	100

#RUNNING RIGHT & LEFT
2600	21321	50	21322	50	21323	50
2601	21311	50	21312	50	21313	50

#JUMP WALK
2700	21417	100
2701	21413	100

#JUMP RUN
2800	21427	100
2801	21423	100

#SIT RIGHT & LEFT 
2900	21521	100
2901	21511	100

#BRACE RIGHT & LEFT 
2100	21621	100
2101	21611	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100
1201	12111	100	12212	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100
